,Pub.Priv,Year,Ave.Act,Num.33-36,Num.28-32,Num.24-27,Num.19-23,Num.17-18,Num.1-16,Num.NA,Num.Tot,Pct.33-36,Pct.28-32,Pct.24-27,Pct.19-23,Pct.17-18,Pct.1-16,Pct.NA,Pct.Tot
UCM,Public,2007,22.2989547038328,3,109,364,775,155,29,119,1554,0.001930501930502,0.07014157014157,0.234234234234234,0.498712998712999,0.0997425997426,0.018661518661519,0.076576576576577,1
UMC,Public,2007,25.4,122,1260,1823,1513,59,23,182,4982,0.02448815736652,0.252910477719791,0.365917302288238,0.303693295865114,0.01184263348053,0.004616619831393,0.036531513448414,1
UMKC,Public,2007,24.1,18,199,257,274,68,38,105,959,0.018769551616267,0.207507820646507,0.267987486965589,0.285714285714286,0.070907194994786,0.039624608967675,0.109489051094891,1
UMSL,Public,2007,22.7649572649573,3,48,149,215,39,14,30,498,0.006024096385542,0.096385542168675,0.299196787148594,0.431726907630522,0.078313253012048,0.028112449799197,0.060240963855422,1
AVILA,Private,2007,22,0,7,23,68,11,0,5,114,0,0.06140350877193,0.201754385964912,0.596491228070175,0.096491228070176,0,0.043859649122807,1
CENTRAL METHODIST - CLAS,Private,2007,21,1,9,69,119,54,12,6,270,0.003703703703704,0.033333333333333,0.255555555555556,0.440740740740741,0.2,0.044444444444445,0.022222222222222,1
COLLEGE OF THE OZARKS,Private,2007,22.4,0,18,68,161,20,2,14,283,0,0.063604240282686,0.240282685512367,0.568904593639576,0.070671378091873,0.007067137809187,0.049469964664311,1
COLUMBIA,Private,2007,22.3,0,16,48,84,21,6,33,208,0,0.076923076923077,0.230769230769231,0.403846153846154,0.100961538461538,0.028846153846154,0.158653846153846,1
CULVER-STOCKTON,Private,2007,21.6,2,13,39,96,50,1,2,203,0.009852216748768,0.064039408866995,0.192118226600985,0.472906403940887,0.246305418719212,0.004926108374384,0.009852216748768,1
DRURY,Private,2007,25.2,9,89,146,113,3,1,179,540,0.016666666666667,0.164814814814815,0.27037037037037,0.209259259259259,0.005555555555556,0.001851851851852,0.331481481481481,1
EVANGEL,Private,2007,22.6,1,47,83,134,38,18,23,344,0.002906976744186,0.136627906976744,0.241279069767442,0.38953488372093,0.11046511627907,0.052325581395349,0.066860465116279,1
FONTBONNE,Private,2007,21.1,1,11,32,81,31,18,17,191,0.005235602094241,0.057591623036649,0.167539267015707,0.424083769633508,0.162303664921466,0.094240837696335,0.089005235602094,1
HANNIBAL- LAGRANGE,Private,2007,21.8,0,12,24,59,19,7,22,143,0,0.083916083916084,0.167832167832168,0.412587412587413,0.132867132867133,0.048951048951049,0.153846153846154,1
LINDENWOOD,Private,2007,22,0,59,120,386,79,6,234,884,0,0.066742081447964,0.135746606334842,0.436651583710407,0.089366515837104,0.006787330316742,0.264705882352941,1
MARYVILLE,Private,2007,24,4,45,114,124,5,1,10,303,0.013201320132013,0.148514851485149,0.376237623762376,0.409240924092409,0.016501650165017,0.003300330033003,0.033003300330033,1
MISSOURI BAPTIST,Private,2007,21.6,0,17,32,73,32,5,34,193,0,0.088082901554404,0.16580310880829,0.378238341968912,0.16580310880829,0.025906735751295,0.176165803108808,1
MISSOURI VALLEY,Private,2007,19.18,1,4,29,148,107,66,89,444,0.002252252252252,0.009009009009009,0.065315315315315,0.333333333333333,0.240990990990991,0.148648648648649,0.20045045045045,1
PARK,Private,2007,22.7,2,23,38,39,14,13,46,175,0.011428571428572,0.131428571428571,0.217142857142857,0.222857142857143,0.08,0.074285714285714,0.262857142857143,1
ROCKHURST,Private,2007,25.1,5,89,134,118,8,0,13,367,0.013623978201635,0.242506811989101,0.365122615803815,0.321525885558583,0.021798365122616,0,0.035422343324251,1
SAINT LOUIS,Private,2007,26.2,52,485,546,316,27,2,183,1611,0.03227808814401,0.301055245189323,0.338919925512104,0.196151458721291,0.016759776536313,0.001241464928616,0.113594040968343,1
SOUTHWEST BAPTIST,Private,2007,23,1,66,96,159,44,19,25,410,0.002439024390244,0.160975609756098,0.234146341463415,0.38780487804878,0.107317073170732,0.046341463414634,0.060975609756098,1
STEPHENS,Private,2007,22.3,0,18,50,102,23,9,23,225,0,0.08,0.222222222222222,0.453333333333333,0.102222222222222,0.04,0.102222222222222,1
WASHINGTON ,Private,2007,31.8,315,405,33,2,0,0,583,1338,0.23542600896861,0.302690582959641,0.024663677130045,0.001494768310912,0,0,0.435724962630792,1
